country,year,mean_temp,mean_temp_c
AUT,1973,47.534201954397396,9
BEL,1973,53.47222222222222,12
DEU,1973,50.58603849468543,10
DNK,1973,47.888888888888886,9
ESP,1973,63.10580708661417,17
FIN,1973,35.57142857142857,2
FRA,1973,56.564453125,14
GBR,1973,49.97953216374269,10
GRC,1973,69.71296296296296,21
IRL,1973,52.289198606271775,11
ITA,1973,62.32998996990973,17
LUX,1973,50.72222222222222,10
NLD,1973,52.66101694915254,11
PRT,1973,65.31010452961672,19
SWE,1973,44.833333333333336,7
AUT,1975,52.318407960199,11
BEL,1975,53.608695652173914,12
DEU,1975,54.43557735176103,12
DNK,1975,53.34782608695652,12
ESP,1975,58.00420168067227,14
FIN,1975,51.18012422360248,11
FRA,1975,55.29665427509293,13
GBR,1975,48.048054919908466,9
GRC,1975,66.43478260869566,19
IRL,1975,50.55434782608695,10
ITA,1975,58.83098591549296,15
LUX,1975,53.04347826086956,12
NLD,1975,51.86086956521739,11
PRT,1975,59.900584795321635,16
SWE,1975,52.608695652173914,11
AUT,1977,43.62871287128713,6
BEL,1977,51.52173913043478,11
DEU,1977,48.63457076566125,9
DNK,1977,49.58695652173913,10
ESP,1977,58.76566757493188,15
FIN,1977,37.81987577639752,3
FRA,1977,53.8328530259366,12
GBR,1977,48.49519230769231,9
GRC,1977,59.89855072463768,15
IRL,1977,50.05494505494506,10
ITA,1977,54.43396226415094,12
LUX,1977,47.91304347826087,9
NLD,1977,51.23478260869565,11
PRT,1977,61.05590062111801,16
SWE,1977,41.43478260869565,5
AUT,1978,37.73780487804878,3
BEL,1978,47.89473684210526,9
DEU,1978,42.98916841369672,6
DNK,1978,48.18421052631579,9
ESP,1978,56.94585448392555,14
FIN,1978,32.73069679849341,0
FRA,1978,49.41297071129707,10
GBR,1978,50.10526315789474,10
GRC,1978,55.578947368421055,13
IRL,1978,52.78947368421053,12
ITA,1978,49.417910447761194,10
LUX,1978,41.026315789473685,5
NLD,1978,48.37894736842105,9
PRT,1978,61.10526315789474,16
SWE,1978,39.35,4
AUT,1979,46.64102564102564,8
BEL,1979,52.53846153846154,11
DEU,1979,48.828125,9
DNK,1979,45.483997155049785,7
ESP,1979,58.61487964989059,15
FIN,1979,36.746153846153845,3
FRA,1979,53.90512820512821,12
GBR,1979,50.996153846153845,11
GRC,1979,63.28846153846154,17
IRL,1979,50.099128733997155,10
ITA,1979,55.96601941747573,13
LUX,1979,48.34615384615385,9
NLD,1979,45.89217638691323,8
PRT,1979,55.80769230769231,13
SWE,1979,40.88461538461539,5
AUT,1980,35.91131498470948,2
BEL,1980,42.945945945945944,6
DEU,1980,39.77364001460387,4
DNK,1980,42.78378378378378,6
ESP,1980,56.8143972246314,14
FIN,1980,27.697297297297297,-2
FRA,1980,46.54146970348088,8
GBR,1980,44.641891891891895,7
GRC,1980,64.98823529411764,18
IRL,1980,47.40878378378378,9
ITA,1980,50.95971351835273,11
LUX,1980,38.891891891891895,4
NLD,1980,43.4054054054054,6
PRT,1980,61.05821917808219,16
SWE,1980,31.964769647696478,-0
AUT,1981,44.469026548672566,7
BEL,1981,49.51282051282051,10
DEU,1981,47.26183939601922,8
DNK,1981,41.666666666666664,5
